name,description,styleUrl,icon-opacity,icon-color,icon-scale,icon-offset,icon-offset-units,icon,lon,lat,gx_media_links
ChargePoint,Electric charging infrastructure | https://www.chargepoint.com/ | Remote work options: yes,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-121.9570536,37.2666902,
Charm Industrial (CO),"Cellulosic biomass for carbon removal via fast pyrolyis |  | https://charmindustrial.com/ | Address not precise, based in Fort Lupton, CO",#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-104.8130275,40.0847055,
Charm Industrial (CA),Cellulosic biomass for carbon removal via fast pyrolyis | https://charmindustrial.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.4008695,37.7480367,
Circuit,https://climatebase.org/company/31194/circuit | Remote Work Options: Yes,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-80.0501742,26.7066139,
CivicSpark,https://climatebase.org/company/33466/civicspark | Remote Work Options: Yes,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-121.4948894,38.5810886,
Clarity Movement Co.,Air quality monitoring | https://www.clarity.io/careers | Remote work options: Yes,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.3019382,37.8790729,
Clean Air Task Force (EU),Advocacy and Policy | https://www.catf.us/europe/ | Remote work options: Yes,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,4.4690273,51.9234882,
Clean Air Task Force (US),Advocacy and Policy | https://www.catf.us/ | Remote work options: Yes,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-71.0548266,42.3593238,
Climate Ad Project,https://climatebase.org/company/28404/climate-ad-project Remote work options: Yes,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-74.9273264,39.8939197,
Climate Capital Ltd.,VC investing from seed-stage,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-0.1237673,51.5145559,
Climate Central,Non-profit climate communication group | https://www.climatecentral.org/ | Remote work options: Yes,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-74.660858,40.3498298,
Climatebase,,#icon-1899-0288D1-nodesc,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.2614451,37.8042631,
ClimatePartner (Austria),[object Object],#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,16.3842469,48.24216,
ClimatePartner (HQ Germany),[object Object],#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,11.603073,48.120723,
ClimatePartner (Switzerland),[object Object],#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,8.5156493,47.3898623,
ClimatePartner (US),[object Object],#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-71.0745759,42.3511284,
ClimatePartner (UK),[object Object],#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-0.1191513,51.501708,
Climeworks (Switzerland),Direct air-capture based carbon removal | https://climeworks.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,8.5360741,47.4128787,
Cloud Agrinomics (pt of Perennial),,#icon-1899-0288D1-nodesc,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-105.2521941,40.0139374,
Community Energy Labs,Energy efficiency for community building owners | https://communityenergylabs.com/ | Remote work options: Yes,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-117.4207891,47.6581816,
Congruent Ventures,https://climatebase.org/company/7001/congruent-ventures,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.395256,37.7916099,
Corvus Energy (Norway),https://corvusenergy.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,5.3634757,60.3231489,
